﻿"Site name","URL","Teams","Storage used (GB)","Primary admin","Hub","Template","Last activity (UTC)","Date created","Created by","Storage limit (GB)","Storage used (%)","Microsoft 365 group","Files viewed or edited","Page views","Page visits","Files","Sensitivity","External sharing","Segments"
"ALPS","https://alfalavalonline.sharepoint.com/sites/hww-ALPS","False","6.11","ShareOnline_Support_Admin","","Communication site","8/27/2021 5:00:00 PM","6/12/2019 6:00:26 AM","Gurudatt Bhat","25600","0.00","False","356","2148","77","1949",,"On",
"BU HSS Business Management System – How We Work","https://alfalavalonline.sharepoint.com/sites/hww-BUHSSBusinessManagementSystemHowWeWork","False","0.66","ShareOnline_Support_Admin","","Communication site","8/26/2021 5:00:00 PM","11/12/2019 6:57:53 AM","Gurudatt Bhat","25600","0.00","False","35","356","48","1179",,"Off",
"Cashpool","https://alfalavalonline.sharepoint.com/sites/hww-Cashpool","False","0.01","ShareOnline_Support_Admin","","Communication site","8/9/2021 5:00:00 PM","10/11/2019 12:11:14 AM","Gurudatt Bhat","25600","0.00","False","1","2","1","25",,"Off",
"Commercial Plan","https://alfalavalonline.sharepoint.com/sites/hww-commercialplan","False","0.16","ShareOnline_Support_Admin","","Communication site","8/26/2021 5:00:00 PM","7/1/2019 1:00:46 AM","Atvars Sefanovskis","25600","0.00","False","13","13","2","59",,"Off",
"Compliance and Ethics","https://alfalavalonline.sharepoint.com/sites/hww-ComplianceandEthics","False","0.07","ShareOnline_Support_Admin","","Communication site","8/27/2021 5:00:00 PM","1/21/2021 3:54:23 AM","Rahul Cheke_A","25600","0.00","False","10","979","11","88",,"Off",
"Customer Insight","https://alfalavalonline.sharepoint.com/sites/hww-CustomerInsight","False","0.00","ShareOnline_Support_Admin","","Communication site","4/21/2021 5:00:00 PM","3/27/2020 3:02:14 AM","Gurudatt Bhat","25600","0.00","False","0","0","0","9",,"Off",
"Customer Webinar","https://alfalavalonline.sharepoint.com/sites/hww-customerwebinar","False","0.02","Gurudatt Bhat (admin)","","Communication site","8/25/2021 5:00:00 PM","3/20/2020 1:57:51 AM","Gurudatt Bhat (admin)","25600","0.00","False","2","5","1","37",,"Off",
"Distributor Management","https://alfalavalonline.sharepoint.com/sites/hww-distributormanagement","False","0.01","Gurudatt Bhat","","Communication site","8/21/2021 5:00:00 PM","6/25/2021 2:21:10 AM","Gurudatt Bhat (admin)","25600","0.00","False","3","15","6","33",,"Off",
"Exhibition","https://alfalavalonline.sharepoint.com/sites/hww-exhibition","False","0.01","ShareOnline_Support_Admin","","Communication site","8/17/2021 5:00:00 PM","8/29/2019 7:34:29 AM","Gurudatt Bhat","25600","0.00","False","2","10","7","36",,"Off",
"Global Transport","https://alfalavalonline.sharepoint.com/sites/hww-globaltransport","False","0.00","ShareOnline_Support_Admin","","Communication site","5/25/2021 5:00:00 PM","6/22/2019 9:14:04 AM","Gurudatt Bhat","25600","0.00","False","0","0","0","15",,"Off",
"Group indirect Procurement","https://alfalavalonline.sharepoint.com/sites/hww-groupindirectprocurement","False","0.01","ShareOnline_Support_Admin","","Communication site","8/24/2021 5:00:00 PM","10/21/2019 4:05:17 AM","Gurudatt Bhat","25600","0.00","False","0","8","1","18",,"Off",
"Group Legal & Sustainability","https://alfalavalonline.sharepoint.com/sites/hww-grouplegal","False","6.79","ShareOnline_Support_Admin","","Communication site","8/27/2021 5:00:00 PM","6/7/2019 2:43:05 AM","Gurudatt Bhat","25600","0.00","False","279","4842","241","2929",,"Off",
"Group Trade Finance","https://alfalavalonline.sharepoint.com/sites/hww-grouptradefinance","False","0.08","ShareOnline_Support_Admin","","Communication site","8/26/2021 5:00:00 PM","9/6/2019 2:24:52 AM","Gurudatt Bhat","25600","0.00","False","20","95","9","159",,"Off",
"Group Treasury","https://alfalavalonline.sharepoint.com/sites/hww-grouptreasury","False","0.18","ShareOnline_Support_Admin","","Communication site","8/26/2021 5:00:00 PM","9/20/2019 6:47:38 AM","Gurudatt Bhat","25600","0.00","False","57","659","11","64",,"Off",
"How We Work","https://alfalavalonline.sharepoint.com/sites/HWW","False","0.32","ShareOnline_Support_Admin","","Team site (no Microsoft 365 group)","8/27/2021 5:00:00 PM","12/13/2018 7:16:05 AM","System Account","25600","0.00","False","61","1043","61","758",,"Off",
"Installed Base","https://alfalavalonline.sharepoint.com/sites/hww-InstalledBase","False","0.00","ShareOnline_Support_Admin","","Communication site","5/23/2021 5:00:00 PM","8/11/2020 11:33:09 PM","Søren Svendsen","25600","0.00","False","0","0","0","8",,"Off",
"Launch Plan","https://alfalavalonline.sharepoint.com/sites/hww-launchplan","False","0.04","ShareOnline_Support_Admin","","Communication site","8/26/2021 5:00:00 PM","7/1/2019 1:42:04 AM","Atvars Sefanovskis","25600","0.00","False","3","31","4","39",,"Off",
"Launch Process","https://alfalavalonline.sharepoint.com/sites/hww-LaunchProcess","False","0.01","ShareOnline_Support_Admin","","Communication site","8/26/2021 5:00:00 PM","12/5/2019 4:47:24 AM","Gurudatt Bhat","25600","0.00","False","3","59","8","21",,"Off",
"Marketing Communications","https://alfalavalonline.sharepoint.com/sites/hww-marketingcommunications","False","0.00","ShareOnline_Support_Admin","","Communication site","6/25/2020 5:00:00 PM","10/22/2019 3:59:37 AM","Søren Svendsen","25600","0.00","False","0","0","0","5",,"Off",
"Marketing Planning Process","https://alfalavalonline.sharepoint.com/sites/hww-marketingplanningprocess","False","1.13","ShareOnline_Support_Admin","","Communication site","8/26/2021 5:00:00 PM","7/4/2019 3:45:10 AM","Atvars Sefanovskis","25600","0.00","False","26","82","14","322",,"Off",
"Netting","https://alfalavalonline.sharepoint.com/sites/hww-netting","False","0.01","ShareOnline_Support_Admin","","Communication site","8/26/2021 5:00:00 PM","10/11/2019 12:10:23 AM","Gurudatt Bhat","25600","0.00","False","7","23","3","26",,"Off",
"Project Portfolio Management","https://alfalavalonline.sharepoint.com/sites/hww-projectportfoliomanagement","False","0.14","ShareOnline_Support_Admin","","Communication site","8/27/2021 5:00:00 PM","6/18/2019 2:09:41 AM","Gurudatt Bhat","25600","0.00","False","22","159","22","132",,"Off",
"Protective Coatings","https://alfalavalonline.sharepoint.com/sites/hww-ProtectiveCoatings","False","0.01","Gurudatt Bhat (admin)","","Communication site","8/25/2021 5:00:00 PM","2/15/2021 5:26:54 AM","Gurudatt Bhat (admin)","25600","0.00","False","0","21","2","22",,"Off",
"Public Relations","https://alfalavalonline.sharepoint.com/sites/hww-publicrelations","False","0.00","ShareOnline_Support_Admin","","Communication site","6/25/2020 5:00:00 PM","10/22/2019 3:56:12 AM","Søren Svendsen","25600","0.00","False","0","0","0","6",,"Off",
"Tax","https://alfalavalonline.sharepoint.com/sites/hww-tax","False","0.01","ShareOnline_Support_Admin","","Communication site","2/18/2021 4:00:00 PM","7/4/2019 3:25:25 AM","Atvars Sefanovskis","25600","0.00","False","0","0","0","39",,"Off",
"Vave","https://alfalavalonline.sharepoint.com/sites/hww-Vave","False","0.00","ShareOnline_Support_Admin","","Communication site","6/16/2021 5:00:00 PM","11/6/2020 3:22:42 AM","Gurudatt Bhat","25600","0.00","False","0","0","0","8",,"Off",
