"﻿""Site name""",URL,Teams,Storage used (GB),Primary admin,Hub,Template,Last activity (UTC),Date created,Created by,Storage limit (GB),Storage used (%),Microsoft 365 group,Files viewed or edited,Page views,Page visits,Files,Sensitivity,External sharing,Segments
Aalborg,https://alfalavalonline.sharepoint.com/sites/localsite-aalborg,FALSE,20.03,ShareOnline_Support_Admin,All Local Sites,Communication site,8/27/2021 5:00:00 PM,1/30/2019 6:53:01 AM,Gurudatt Bhat,25600,0,FALSE,1203,3435,111,11330,,Off,
Adriatic,https://alfalavalonline.sharepoint.com/sites/LocalSite-adriatic,FALSE,2.89,Share-Collaboration,All Local Sites,Communication site,8/27/2021 5:00:00 PM,5/27/2019 2:17:44 AM,Share-Collaboration,25600,0,FALSE,32,1604,37,2185,,Off,
All Local Sites,https://alfalavalonline.sharepoint.com/sites/localsitelanding,FALSE,0.02,ShareOnline_Support_Admin,All Local Sites (Hub site),Communication site,8/27/2021 5:00:00 PM,03/07/2019 00:12,Dmitrijs Maslobojevs,25600,0,FALSE,4,1664,4,264,,Off,
Benelux,https://alfalavalonline.sharepoint.com/sites/LocalSite-benelux,FALSE,0.79,Share-Collaboration,All Local Sites,Communication site,8/27/2021 5:00:00 PM,07/08/2019 05:38,Share-Collaboration,25600,0,FALSE,32,1793,25,290,,Off,
Brazil,https://alfalavalonline.sharepoint.com/sites/LocalSite-brazil1,FALSE,0,Share-Collaboration,All Local Sites,Communication site,8/27/2021 5:00:00 PM,8/28/2019 1:34:53 AM,Share-Collaboration,25600,0,FALSE,7,1605,5,43,,Off,
Canada,https://alfalavalonline.sharepoint.com/sites/LocalSite-canada,FALSE,13.64,Share-Collaboration,All Local Sites,Communication site,8/27/2021 5:00:00 PM,5/16/2019 12:01:44 AM,Share-Collaboration,25600,0,FALSE,127,2024,41,2700,,Off,
Central Europe,https://alfalavalonline.sharepoint.com/sites/LocalSite-centraleurope,FALSE,0.05,Share Collaboration Service Account,All Local Sites,Communication site,8/27/2021 5:00:00 PM,12/05/2019 06:56,Share Collaboration Service Account,25600,0,FALSE,17,1620,2,139,,Off,
Chalon sur Saône,https://alfalavalonline.sharepoint.com/sites/LocalSite-chalonsursaône,FALSE,0,Share Collaboration Service Account,All Local Sites,Communication site,8/27/2021 5:00:00 PM,09/03/2020 02:19,Share Collaboration Service Account,25600,0,FALSE,2,1593,2,20,,Off,
China,https://alfalavalonline.sharepoint.com/sites/LocalSite-china,FALSE,8.88,Share-Collaboration,All Local Sites,Communication site,8/27/2021 5:00:00 PM,4/30/2019 12:25:02 AM,Share-Collaboration,25600,0,FALSE,265,1900,25,2804,,Off,
ColVenPa,https://alfalavalonline.sharepoint.com/sites/LocalSite-colvenpa,FALSE,0.83,Share-Collaboration,All Local Sites,Communication site,8/27/2021 5:00:00 PM,3/14/2019 4:07:39 AM,Share-Collaboration,25600,0,FALSE,73,1702,18,631,,Off,
CorHex,https://alfalavalonline.sharepoint.com/sites/LocalSite-corhex,FALSE,0,Share Collaboration Service Account,All Local Sites,Communication site,4/19/2020 5:00:00 PM,9/19/2019 5:00:52 AM,Share Collaboration Service Account,25600,0,FALSE,0,0,0,25,,Off,
CorHex,https://alfalavalonline.sharepoint.com/sites/LocalSite-corhex1,FALSE,0.12,Share Collaboration Service Account,All Local Sites,Communication site,8/27/2021 5:00:00 PM,9/19/2019 5:03:04 AM,Share Collaboration Service Account,25600,0,FALSE,1,1602,2,87,,Off,
Elancourt,https://alfalavalonline.sharepoint.com/sites/LocalSite-elancourt,FALSE,0.13,Share Collaboration Service Account,All Local Sites,Communication site,8/27/2021 5:00:00 PM,02/01/2021 07:41,Share Collaboration Service Account,25600,0,FALSE,11,317,13,94,,Off,
Eskilstuna,https://alfalavalonline.sharepoint.com/sites/LocalSite-eskilstuna,FALSE,1.48,Share-Collaboration,All Local Sites,Communication site,8/27/2021 5:00:00 PM,4/16/2019 4:05:18 AM,Share-Collaboration,25600,0,FALSE,52,1262,41,921,,Off,
Framo AS,https://alfalavalonline.sharepoint.com/sites/LocalSite-framoas,FALSE,0,Share-Collaboration,All Local Sites,Communication site,03/07/2021 16:00,3/14/2019 5:34:07 AM,Share-Collaboration,25600,0,FALSE,0,0,0,26,,Off,
Framo AS,https://alfalavalonline.sharepoint.com/sites/LocalSite-framoas1,FALSE,8.36,Share-Collaboration,All Local Sites,Communication site,8/27/2021 5:00:00 PM,3/14/2019 5:34:34 AM,Share-Collaboration,25600,0,FALSE,432,32839,200,4712,,Off,
France,https://alfalavalonline.sharepoint.com/sites/LocalSite-france,FALSE,0.59,Share-Collaboration,All Local Sites,Communication site,8/27/2021 5:00:00 PM,05/07/2019 02:31,Share-Collaboration,25600,0,FALSE,15,199,11,764,,Off,
Iberica,https://alfalavalonline.sharepoint.com/sites/LocalSite-alfalavaliberica,FALSE,0.6,Share-Collaboration,All Local Sites,Communication site,8/27/2021 5:00:00 PM,07/09/2019 02:14,Share-Collaboration,25600,0,FALSE,77,414,45,880,,Off,
Italy,https://alfalavalonline.sharepoint.com/sites/LocalSite-italy,FALSE,2.08,Share-Collaboration,All Local Sites,Communication site,8/27/2021 5:00:00 PM,5/28/2019 3:41:30 AM,Share-Collaboration,25600,0,FALSE,46,281,14,2881,,Off,
Japan,https://alfalavalonline.sharepoint.com/sites/LocalSite-japan,FALSE,4.72,Share-Collaboration,All Local Sites,Communication site,8/27/2021 5:00:00 PM,06/11/2019 01:32,Share-Collaboration,25600,0,FALSE,62,246,26,1809,,Off,
Kolding,https://alfalavalonline.sharepoint.com/sites/LocalSite-kolding,FALSE,89.42,Share-Collaboration,All Local Sites,Communication site,8/27/2021 5:00:00 PM,04/09/2019 01:02,Share-Collaboration,25600,0,FALSE,59,1683,84,2847,,Off,
Korea,https://alfalavalonline.sharepoint.com/sites/LocalSite-korea,FALSE,2.73,Share-Collaboration,All Local Sites,Communication site,8/27/2021 5:00:00 PM,7/24/2019 1:06:38 AM,Share-Collaboration,25600,0,FALSE,165,978,38,914,,Off,
Krakow,https://alfalavalonline.sharepoint.com/sites/LocalSite-krakow,FALSE,0.32,Share-Collaboration,All Local Sites,Communication site,8/26/2021 5:00:00 PM,07/02/2019 04:24,Share-Collaboration,25600,0,FALSE,26,867,17,395,,Off,
Local site India,https://alfalavalonline.sharepoint.com/sites/localsite-india,FALSE,3.17,ShareOnline_Support_Admin,All Local Sites,Communication site,8/27/2021 5:00:00 PM,12/19/2018 12:29:47 AM,Gurudatt Bhat,25600,0,FALSE,91,444,16,1470,,Off,
Lund,https://alfalavalonline.sharepoint.com/sites/LocalSite-lund,FALSE,3.94,Share-Collaboration,All Local Sites,Communication site,8/27/2021 5:00:00 PM,04/08/2019 23:54,Share-Collaboration,25600,0,FALSE,202,5408,131,3840,,Off,
Mexico,https://alfalavalonline.sharepoint.com/sites/LocalSite-mexico,FALSE,0.46,Share-Collaboration,All Local Sites,Communication site,8/27/2021 5:00:00 PM,07/09/2019 00:21,Share-Collaboration,25600,0,FALSE,24,273,18,483,,Off,
Middle East & Africa,https://alfalavalonline.sharepoint.com/sites/LocalSite-middleeast&africa,FALSE,0.83,Share-Collaboration,All Local Sites,Communication site,8/27/2021 5:00:00 PM,4/24/2019 1:32:44 AM,Share-Collaboration,25600,0,FALSE,40,386,25,565,,Off,
MidEurope,https://alfalavalonline.sharepoint.com/sites/LocalSite-mideurope,FALSE,0.8,Share-Collaboration,All Local Sites,Communication site,8/26/2021 5:00:00 PM,3/14/2019 2:54:18 AM,Share-Collaboration,25600,0,FALSE,25,215,3,900,,Off,
Nakskov,https://alfalavalonline.sharepoint.com/sites/LocalSite-nakskov,FALSE,4.93,Share-Collaboration,All Local Sites,Communication site,8/26/2021 5:00:00 PM,4/23/2019 5:03:38 AM,Share-Collaboration,25600,0,FALSE,48,962,65,2652,,Off,
Nijmegen,https://alfalavalonline.sharepoint.com/sites/LocalSite-nijmegen,FALSE,2.71,Share-Collaboration,All Local Sites,Communication site,8/27/2021 5:00:00 PM,07/04/2019 02:32,Share-Collaboration,25600,0,FALSE,86,778,29,786,,Off,
Nordic,https://alfalavalonline.sharepoint.com/sites/localsite-Nordic,FALSE,2.22,ShareOnline_Support_Admin,All Local Sites,Communication site,8/27/2021 5:00:00 PM,11/25/2018 11:33:46 AM,Gurudatt Bhat,25600,0,FALSE,67,819,40,1231,,Off,
Oceania,https://alfalavalonline.sharepoint.com/sites/LocalSite-oceania,FALSE,1.55,Share-Collaboration,All Local Sites,Communication site,8/26/2021 5:00:00 PM,5/19/2019 11:46:34 PM,Share-Collaboration,25600,0,FALSE,115,325,26,4644,,Off,
"PArC (Peru, Argentina and Chile)","https://alfalavalonline.sharepoint.com/sites/LocalSite-parc(peru,argentinaandchile)",FALSE,0.57,Share-Collaboration,All Local Sites,Communication site,8/26/2021 5:00:00 PM,04/01/2019 01:46,Share-Collaboration,25600,0,FALSE,15,119,5,853,,Off,
Petropolis,https://alfalavalonline.sharepoint.com/sites/LocalSite-petropolis,FALSE,2.02,Share-Collaboration,All Local Sites,Communication site,8/27/2021 5:00:00 PM,06/12/2019 05:38,Share-Collaboration,25600,0,FALSE,63,998,14,2340,,Off,
"Poland, Ukraine and Baltics (PUB)","https://alfalavalonline.sharepoint.com/sites/LocalSite-poland,ukraineandbaltics(pub)",FALSE,0.01,Share-Collaboration,All Local Sites,Communication site,8/26/2021 5:00:00 PM,06/11/2019 01:08,Share-Collaboration,25600,0,FALSE,1,66,1,46,,Off,
