﻿"Site name","URL","Teams","Storage used (GB)","Primary admin","Hub","Template","Last activity (UTC)","Date created","Created by","Storage limit (GB)","Storage used (%)","Microsoft 365 group","Files viewed or edited","Page views","Page visits","Files","Sensitivity","External sharing","Segments"
"2TouchServCom","https://alfalavalonline.sharepoint.com/sites/ToolSite-2touchservcom","False","0.01","Share-Collaboration","All Tool Sites","Communication site","8/26/2021 5:00:00 PM","6/16/2019 11:41:09 PM","Share-Collaboration","25600","0.00","False","2","156","2","37",,"Off",
"Alfa Laval Match Maker","https://alfalavalonline.sharepoint.com/sites/ToolSite-alfalavalmatchmaker","False","0.00","Share-Collaboration","All Tool Sites","Communication site","8/26/2021 5:00:00 PM","6/25/2019 1:21:02 AM","Share-Collaboration","25600","0.00","False","2","181","1","32",,"Off",
"AlfaSelect & CAS Channel Edition","https://alfalavalonline.sharepoint.com/sites/ToolSite-alfaselect&caschanneledition","False","0.01","Share-Collaboration","All Tool Sites","Communication site","8/26/2021 5:00:00 PM","6/25/2019 1:21:04 AM","Share-Collaboration","25600","0.00","False","7","198","3","44",,"Off",
"All Tool Sites","https://alfalavalonline.sharepoint.com/sites/toolsitelanding","False","0.01","ShareOnline_Support_Admin","All Tool Sites (Hub site)","Communication site","8/26/2021 5:00:00 PM","4/7/2019 10:53:36 PM","Dmitrijs Maslobojevs","25600","0.00","False","4","210","7","63",,"Off",
"AllBrand Code Index","https://alfalavalonline.sharepoint.com/sites/ToolSite-allbrandcodeindex","False","0.00","Share-Collaboration","All Tool Sites","Communication site","7/14/2021 5:00:00 PM","7/10/2019 6:59:44 AM","Share-Collaboration","25600","0.00","False","0","0","0","11",,"Off",
"Anytime","https://alfalavalonline.sharepoint.com/sites/ToolSite-anytime","False","0.01","Share Collaboration Service Account","All Tool Sites","Communication site","8/26/2021 5:00:00 PM","11/11/2019 2:31:08 AM","Share Collaboration Service Account","25600","0.00","False","2","296","2","38",,"Off",
"BME Product Master","https://alfalavalonline.sharepoint.com/sites/ToolSite-bmeproductmaster","False","0.00","Share Collaboration Service Account","All Tool Sites","Communication site","8/26/2021 5:00:00 PM","9/23/2019 1:36:50 AM","Share Collaboration Service Account","25600","0.00","False","1","199","1","21",,"Off",
"BME Product Master","https://alfalavalonline.sharepoint.com/sites/ToolSite-bmeproductmaster1","False","0.00","Share Collaboration Service Account","All Tool Sites","Communication site","9/24/2020 5:00:00 PM","9/23/2019 1:39:00 AM","Share Collaboration Service Account","25600","0.00","False","0","0","0","17",,"Off",
"Cashier system Tools site","https://alfalavalonline.sharepoint.com/sites/ToolSite-cashiersystem","False","0.00","Share-Collaboration","All Tool Sites","Communication site","8/26/2021 5:00:00 PM","6/13/2019 5:21:19 AM","Share-Collaboration","25600","0.00","False","0","23","1","24",,"Off",
"E&S Automation Tools","https://alfalavalonline.sharepoint.com/sites/ToolSite-e&sautomationtools","False","0.72","Share Collaboration Service Account","All Tool Sites","Communication site","8/26/2021 5:00:00 PM","11/3/2019 10:40:01 PM","Share Collaboration Service Account","25600","0.00","False","6","31","2","142",,"Off",
"E&S HSS CTO Tools","https://alfalavalonline.sharepoint.com/sites/ToolSite-e&shssctotools","False","0.01","Share Collaboration Service Account","All Tool Sites","Communication site","8/26/2021 5:00:00 PM","11/5/2020 2:03:41 AM","Share Collaboration Service Account","25600","0.00","False","0","26","2","26",,"Off",
"Endeavour","https://alfalavalonline.sharepoint.com/sites/ToolSite-endeavour","False","4.89","Share-Collaboration","All Tool Sites","Communication site","8/27/2021 5:00:00 PM","6/13/2019 12:06:38 AM","Share-Collaboration","25600","0.00","False","270","1133","56","2208",,"Off",
"Enterprise Integration","https://alfalavalonline.sharepoint.com/sites/ToolSite-enterpriseintegration","False","0.00","Share Collaboration Service Account","All Tool Sites","Communication site","8/26/2021 5:00:00 PM","8/23/2021 5:45:37 AM","Share Collaboration Service Account","25600","0.00","False","7","24","7","7",,"Off",
"Environmental Transportation CO2 Database","https://alfalavalonline.sharepoint.com/sites/ToolSite-environmentaltransportationco2database","False","0.00","Share-Collaboration","All Tool Sites","Communication site","8/26/2021 5:00:00 PM","5/28/2019 12:03:53 AM","Share-Collaboration","25600","0.00","False","0","26","2","19",,"Off",
"Exhibition unit portal","https://alfalavalonline.sharepoint.com/sites/ToolSite-exhibitionunitportal","False","0.02","Share-Collaboration","All Tool Sites","Communication site","8/26/2021 5:00:00 PM","5/14/2019 12:59:42 AM","Share-Collaboration","25600","0.00","False","0","26","2","34",,"Off",
"Explore Extended","https://alfalavalonline.sharepoint.com/sites/ToolSite-exploreextended","False","1.39","Share Collaboration Service Account","All Tool Sites","Communication site","8/26/2021 5:00:00 PM","1/27/2021 6:30:10 AM","Share Collaboration Service Account","25600","0.00","False","1","32","2","8233",,"Off",
"Food & Water - Alliance News","https://alfalavalonline.sharepoint.com/sites/ToolSite-food&water-alliancenews","False","0.10","Share-Collaboration","All Tool Sites","Communication site","8/26/2021 5:00:00 PM","5/2/2019 2:21:36 AM","Share-Collaboration","25600","0.00","False","5","27","1","1072",,"Off",
"Framo Elevate","https://alfalavalonline.sharepoint.com/sites/ToolSite-framoelevate","False","9.42","Share Collaboration Service Account","All Tool Sites","Communication site","8/27/2021 5:00:00 PM","11/20/2020 6:48:50 AM","Share Collaboration Service Account","25600","0.00","False","290","1793","9","899",,"Off",
"Freight Calculator (EXAM)","https://alfalavalonline.sharepoint.com/sites/ToolSite-freightcalculator(exam)","False","0.01","Share-Collaboration","All Tool Sites","Communication site","8/27/2021 5:00:00 PM","5/8/2019 11:08:16 PM","Share-Collaboration","25600","0.00","False","3","2101","5","25",,"Off",
"Global Axapta ","https://alfalavalonline.sharepoint.com/sites/ToolSite-globalaxapta","False","0.21","Share-Collaboration","All Tool Sites","Communication site","8/26/2021 5:00:00 PM","6/19/2019 7:40:29 AM","Share-Collaboration","25600","0.00","False","10","21","5","142",,"Off",
"Global Ship Master","https://alfalavalonline.sharepoint.com/sites/ToolSite-globalshipmaster","False","0.15","Share-Collaboration","All Tool Sites","Communication site","8/26/2021 5:00:00 PM","8/21/2019 6:19:38 AM","Share-Collaboration","25600","0.00","False","6","146","9","133",,"Off",
"globaldeliverytimelist","https://alfalavalonline.sharepoint.com/sites/ToolSite-globaldeliverytimelist","False","0.82","Share-Collaboration","All Tool Sites","Communication site","8/27/2021 5:00:00 PM","6/13/2019 7:16:18 AM","Share-Collaboration","25600","0.00","False","52","1131","5","1201",,"Off",
