Acronym (Mandatory),Stands For (Mandatory),Url,Description,State (Mandatory),Last Modified,Last Modified By,Id
VSS,Volatile Suspended Solids,,,Published,02/22/2021,,
WAS,Waste Activated Sludge,,,Published,02/22/2021,,
WATER FOR INJECTION,[A highly purified water used in the pharmaceutical industry],,,Published,02/22/2021,,
WB,White Belt,,,Published,02/22/2021,,
WHR,Waste Heat Recovery,,,Published,02/22/2021,,
TCM,Tank Cleaning Machines for marine applications. Directs jets of cleaning media in specific patterns to clean tanks. Also called Crude Oil Washing Machines/Tank Washing Machines.,,,Published,02/22/2021,,
TDH,Total Dynamic Head [Intricate equation to establish go/no go point for pumping material],,,Published,02/22/2021,,
THE,Tubular Heat Exchangers,,,Published,02/22/2021,,
TFM,Tetrafluoro [specialized Teflon®],,,Published,02/22/2021,,
TIG,Tungsten in Gas [Standard welding method usually used in sanitary stainless steel fabrication],,,Published,02/22/2021,,
TMC,Top Management Conference.  Sets the strategic direction for the company and is held every two years for managers on levels 13,,,Published,02/22/2021,,
TOC,Total Organic Compounds [Semiconductor measurement for particle count],,,Published,02/22/2021,,
TSS,Total Suspended Solids,,,Published,02/22/2021,,
TPP,Transactional Pricing Process. Transactional Pricing is a methodology and set of tools to manage pricing of transactional business according to international best practice. Transactional Pricing is based on a Product Price List (PPL) evaluating the products; and discounts evaluating the market and customer. Discounts are set by customer/business value parameters to consistently set/update price. The Transactional Pricing Process is the continuous update process of the pricing elements.,,,Published,02/22/2021,,
TTP,"Time To Profit. A measurement in Time To Market for the time it takes (in years), to recoup the investment (in a product or offering) made and earn the same amount in profit. Replaces Time To Million Euro, and Time To 2 times Investment",,,Published,02/22/2021,,
UHT,Ultra High Temperature [A pasteurization method using higher temperature than standard methods. Used to increase shelf life of a product.],,,Published,02/22/2021,,
UI,Unavailable Item [Discontinued product],,,Published,02/22/2021,,
UF,Ultra Filtration [Filters formed from polymer membranes that have the ability to retain larger molecules allowing the passage of smaller ones.],,,Published,02/22/2021,,
ULMSDO,Ultra Low Sulphur Marnine Diesel Oil,,,Published,02/22/2021,,
ULMSGO,Ultra Low Sulphur Marine Gas Oil,,,Published,02/22/2021,,
UTM,Ultipro Time Management [Online system used for employee timekeeping.],,,Published,02/22/2021,,
UV,Ultraviolet [Radiation in the ultraviolet portion of the spectrum. Used to destroy microorganism and neutralize ozone.],,,Published,02/22/2021,,
VAS,Value Added Services [Means our service capabilities in Capital Sales and Parts and Service are pulled together to create new and powerful offerings. VAS is a tool to find new revenue streams and at the same time protect our core business.],,,Published,02/22/2021,,
VAVE,Value Analysis Value Engineering.,,,Published,02/22/2021,,
VKO MEETING,Virtual KickOff Meeting,,,Published,02/22/2021,,
VLRC,"Virtual Learning Resource Center [Formed a strategic partnership. The Virtual Learning Portal is an important part of the Alfa Laval University's drive for competence development in our organization. You can find valuable information, such as learning guides, videos, auio tapes, and a wide range of other resources for leaning and information. You can search for training and development from a long list of topics or you can make a selfassessment, which gives you further suggestions for selflearning.]",,,Published,02/22/2021,,
VLM,Vibration Level Monitor [Mornitor device used in decanter control systems],,,Published,02/22/2021,,
VLM,ViscoLineMultitube [Heat exchanger used in food systems],,,Published,02/22/2021,,
VOC,"Voice of the Customer [Term used to capture a customer's expectations, preferences and aversions. Produces a detailed set of customer wants and needs.]",,,Published,02/22/2021,,
VOC,Volatile Organic Compounds,,,Published,02/22/2021,,
VOT,Vegetable Oil Technology [Segment within Hygienic],,,Published,02/22/2021,,
RSP,Retirement Savings Plan [A savings plan for setting aside money to be spent after retirement. It allows individuals to defer tax on money saved.],,,Published,02/22/2021,,
S&A,"Sales and Admin cost [Almost all costs  mainly salaries, cars, rent of the office, marketing, entertainment, training etc.]",,,Published,02/22/2021,,
SALLY,SALes LibrarY [The name used for collections of Lotus Notes databases with an almost identical design. The database do all have sales and service people as the primary target group.],,,Published,02/22/2021,,
SC,Supply Chain/Sales Company/Service Centre,,,Published,02/22/2021,,
SG,"Specific Gravity [Density of a product, i.e. H2O = 1; Glucose > 1, etc]",,,Published,02/22/2021,,
SHE,Spiral Heat Exchanger,,,Published,02/22/2021,,
SI,Stock Inventory [Stocked item with > 96% availability. Categorization as an SI item is based on predetermined parameters and is reviewed periodically by sales & operations.],,,Published,02/22/2021,,
SIPOC,"Supply Input Process Output & Customer demands [A Six Sigma Tool, this diagram is often used by teams to identify the key elements of a process improvement project before work begins.",,,Published,02/22/2021,,
SLA,Service Level Agreements [Is formally defined. A service level agreement is a negotiated agreement between two parties wherein one is the customer and the other is the service provider.],,,Published,02/22/2021,,
SMS,Service Management System,,,Published,02/22/2021,,
SO,Shop Order,,,Published,02/22/2021,,
SOP,Standard Operating Procedure,,,Published,02/22/2021,,
SOUR,Specific Oxygen Uptake Rate,,,Published,02/22/2021,,
SOX,Sulphur Oxides,,,Published,02/22/2021,,
SRC,Sanitary Remote Control valve [Used as a description for an Alfa Laval seat valve],,,Published,02/22/2021,,
SSC,Shared Services Center [A shared Service Center is the consolidation of a company's functions and processes into a single unit.],,,Published,02/22/2021,,
SSHE,Scraped Surface Heat Exchanger [Exchangers. These heat exchangers use blades to continuously scrape the inside surface of the heating chamber. The scrapping action protects highly viscous foods from being burned on the heating surface.],,,Published,02/22/2021,,
SSV,Settled Sludge Volume,,,Published,02/22/2021,,
SU,"Supply Unit [A Supply Unit, in manufacturing, builds the complete assemblies using parts received from vendors and the Component Units]",,,Published,02/22/2021,,
SVI,Sludge Volume Index,,,Published,02/22/2021,,
TA,"BHE treated with Tantalum for high resistance to hot, highly corrosive media",,,Published,02/22/2021,,
T & C'S,Terms & Conditions [Document that establishes our business relationship with distributors],,,Published,02/22/2021,,
T7A,HT  Alfa Laval IX T7A/ALHT,,,Published,02/22/2021,,
PD,"Product Description Sheets [ Alfa Laval document that provides a technical overview of each product including, size, dimensions and application overview.]",,,Published,02/22/2021,,
PDD,Performance Development Dialogue,,,Published,02/22/2021,,
PED,"Pressure Equipment Directive, sets out the standards for the design and fabrication of pressure equipment within EU",,,Published,02/22/2021,,
PEF,Project Evaluation Form,,,Published,02/22/2021,,
PF,Profit Factor [Margin and local expenses. This ration gives a very good indication of the level at which a local organization is contributing to the Group performance. Usual level of PF is around 2.5 if the number is higher than it is better for us.],,,Published,02/22/2021,,
PFL,Process Food & Life Sciences,,,Published,02/22/2021,,
PHE,Plate Heat Exchanger [A plate heat exchanger is a type of heat exchanger that uses metal plates to transfer heat between two fluids.],,,Published,02/22/2021,,
PIT,Process Industrial Technology (A segment within EIP),,,Published,02/22/2021,,
PLM,[Product Lifecycle Management],,,Published,02/22/2021,,
PO,Purchase order in Endeavour program.,,,Published,02/22/2021,,
PRO,Production order in Endeavour program.,,,Published,02/22/2021,,
PPL,"Product Price List. The name for Alfa Laval's product price list, and is used for a price list that describes the generic price for a range of products. PPL replaced RCPL as term in 2014. Discounts/ additions are needed to set the correct market price level and the correct customer price.",,,Published,02/22/2021,,
PPS,Process Parts & Service (A segment within EIP),,,Published,02/22/2021,,
PROMAL,Project Management Alfa Laval [Model for all internal Alfa Laval projects exceeding EUR 30k],,,Published,02/22/2021,,
PRP,Problem Resolution Process,,,Published,02/22/2021,,
