"Id","Level","Visible","Title","Url","Order","ParentId","ParentTitle"
"2025","Level 1","True","Organizations","https://alfalavalonline.sharepoint.com/sites/organization","1","0",""
"2124","Level 1","True","Local sites","https://alfalavalonline.sharepoint.com/sites/localsitelanding","2","0",""
"2026","Level 1","True","Strategy & Initiatives","https://alfalavalonline.sharepoint.com/sites/StrategiesInitiatives","3","0",""
"2165","Level 2","True","Alfa Laval DNA","https://alfalavalonline.sharepoint.com/sites/AlfaLavalDNA","4","2026","Strategy & Initiatives"
"2162","Level 2","True","Strategy 2020 - Releasing the power","https://alfalavalonline.sharepoint.com/sites/StrategiesInitiatives/Strategy/SitePages/Releasing-the-power---Strategy-2020.aspx","5","2026","Strategy & Initiatives"
"2163","Level 2","True","Key Initiatives and Projects","https://alfalavalonline.sharepoint.com/sites/StrategiesInitiatives/keyinitiativesandprojects/SitePages/Key-Initiatives-and-Projects.aspx","6","2026","Strategy & Initiatives"
"2027","Level 1","True","Sustainability","https://alfalavalonline.sharepoint.com/sites/Sustainability","7","0",""
"2050","Level 2","True","Business Principles Implementation","https://alfalavalonline.sharepoint.com/sites/Sustainability/SitePages/Business-Principles-Implementation.aspx","8","2027","Sustainability"
"2051","Level 2","True","Environment","https://alfalavalonline.sharepoint.com/sites/SustainabilityQA/Environment","9","2027","Sustainability"
"2052","Level 3","True","Environment across our value chain","https://alfalavalonline.sharepoint.com/sites/Sustainability/SitePages/Environment-across-our-value-chain.aspx","10","2051","Environment"
"2126","Level 2","True","Chemicals for sale","https://alfalavalonline.sharepoint.com/sites/Sustainability/SitePages/Chemicals-for-sale.aspx?Mode=Edit","11","2027","Sustainability"
"2127","Level 3","True","Approval process","https://alfalavalonline.sharepoint.com/sites/Sustainability/SitePages/CCC-approval-process.aspx","12","2126","Chemicals for sale"
"2128","Level 3","True","Masterlist","https://alfalavalonline.sharepoint.com/sites/Sustainability/SitePages/Masterlist.aspx","13","2126","Chemicals for sale"
"2129","Level 3","True","CCC product owners","https://alfalavalonline.sharepoint.com/sites/Sustainability/SitePages/CCC-product-owners.aspx","14","2126","Chemicals for sale"
"2130","Level 3","True","CCC members & governance","https://alfalavalonline.sharepoint.com/sites/Sustainability/SitePages/Members-&-Gouvernance.aspx","15","2126","Chemicals for sale"
"2131","Level 3","True","Guidelines & instructions","https://alfalavalonline.sharepoint.com/sites/Sustainability/SitePages/Guidelines-&-Instructions.aspx","16","2126","Chemicals for sale"
"2132","Level 2","True","AL Black & Grey List","https://alfalavalonline.sharepoint.com/sites/Sustainability/SitePages/Black-and-Grey-list.aspx","17","2027","Sustainability"
"2053","Level 2","True","Social","https://alfalavalonline.sharepoint.com/sites/Sustainability/SitePages/Social.aspx","18","2027","Sustainability"
"2154","Level 2","True","Conflict Minerals","https://alfalavalonline.sharepoint.com/sites/Sustainability/SitePages/Conflict-Minerals.aspx","19","2027","Sustainability"
"2155","Level 3","True","Alfa Laval Process","https://alfalavalonline.sharepoint.com/sites/Sustainability/SitePages/Alfa-Laval-Process.aspx","20","2154","Conflict Minerals"
"2156","Level 3","True","Customer Process","https://alfalavalonline.sharepoint.com/sites/Sustainability/SitePages/Customer-Process.aspx","21","2154","Conflict Minerals"
"2157","Level 3","True","Internal Audit","https://alfalavalonline.sharepoint.com/sites/Sustainability/SitePages/internal-audit.aspx","22","2154","Conflict Minerals"
"2158","Level 3","True","Implement your process","https://alfalavalonline.sharepoint.com/sites/Sustainability/SitePages/Implement-Conflict-Mineral-Process.aspx","23","2154","Conflict Minerals"
"2159","Level 3","True","Support Team","https://alfalavalonline.sharepoint.com/sites/Sustainability/SitePages/Support-Team(1).aspx","24","2154","Conflict Minerals"
"2160","Level 3","True","News","https://alfalavalonline.sharepoint.com/sites/Sustainability/SitePages/News.aspx","25","2154","Conflict Minerals"
