Id,Level,Visible,Title,Url,Order,ParentId,ParentTitle
2025,Level 1,TRUE,Organizations,https://alfalavalonline.sharepoint.com/sites/organization,1,0,
2124,Level 1,TRUE,Local sites,https://alfalavalonline.sharepoint.com/sites/localsitelanding,2,0,
2026,Level 1,TRUE,Strategy & Initiatives,https://alfalavalonline.sharepoint.com/sites/StrategiesInitiatives,3,0,
2165,Level 2,TRUE,Alfa Laval DNA,https://alfalavalonline.sharepoint.com/sites/AlfaLavalDNA,4,2026,Strategy & Initiatives
2162,Level 2,TRUE,Strategy 2020 - Releasing the power,https://alfalavalonline.sharepoint.com/sites/StrategiesInitiatives/Strategy/SitePages/Releasing-the-power---Strategy-2020.aspx,5,2026,Strategy & Initiatives
2163,Level 2,TRUE,Key Initiatives and Projects,https://alfalavalonline.sharepoint.com/sites/StrategiesInitiatives/keyinitiativesandprojects/SitePages/Key-Initiatives-and-Projects.aspx,6,2026,Strategy & Initiatives
2027,Level 1,TRUE,Sustainability,https://alfalavalonline.sharepoint.com/sites/Sustainability,7,0,
2050,Level 2,TRUE,Business Principles,https://alfalavalonline.sharepoint.com/sites/Policiesandguidelines/SitePages/Business%20Principles.aspx,8,2027,Sustainability
2051,Level 2,TRUE,Stakeholder engagement and material aspects,https://alfalavalonline.sharepoint.com/sites/Sustainability/SitePages/Material-aspects.aspx,9,2027,Sustainability
2052,Level 2,TRUE,Safe and inclusive culture,https://alfalavalonline.sharepoint.com/sites/Sustainability/SitePages/People.aspx,10,2027,Sustainability
2126,Level 3,TRUE,Health & safety targets and performance,https://alfalavalonline.sharepoint.com/sites/Sustainability/SitePages/Social-targets.aspx,11,2052,Safe and inclusive culture
2127,Level 3,TRUE,Diversity and equality,https://alfalavalonline.sharepoint.com/sites/Sustainability/SitePages/Diversity-and-equality.aspx,12,2052,Safe and inclusive culture
2128,Level 3,TRUE,Human rights,https://alfalavalonline.sharepoint.com/sites/Sustainability/SitePages/Human-rights.aspx,13,2052,Safe and inclusive culture
2129,Level 3,TRUE,Training and career development,https://alfalavalonline.sharepoint.com/sites/Sustainability/SitePages/Training-and-career-development.aspx,14,2052,Safe and inclusive culture
2130,Level 2,TRUE,Environmental commitment and performance,https://alfalavalonline.sharepoint.com/sites/Sustainability/SitePages/Planet---Environment.aspx,15,2027,Sustainability
2131,Level 3,TRUE,Environmental targets and performance,https://alfalavalonline.sharepoint.com/sites/Sustainability/SitePages/Environmental-targets-and-performance.aspx,16,2130,Environmental commitment and performance
2132,Level 3,TRUE,Climate,https://alfalavalonline.sharepoint.com/sites/Sustainability/SitePages/Climate.aspx,17,2130,Environmental commitment and performance
2053,Level 2,TRUE,Responsible supply chain,https://alfalavalonline.sharepoint.com/sites/Sustainability/SitePages/Responsible-sourcing.aspx,18,2027,Sustainability
2154,Level 2,TRUE,Community involvement,https://alfalavalonline.sharepoint.com/sites/Sustainability/SitePages/Community-involvement.aspx,19,2027,Sustainability
2155,Level 2,TRUE,Sustainability projects,https://alfalavalonline.sharepoint.com/sites/Sustainability/SitePages/Important-sustainability-projects.aspx,20,2027,Sustainability
2156,Level 3,TRUE,Environment,https://alfalavalonline.sharepoint.com/sites/Sustainability/SitePages/Important-projects---environment.aspx,21,2155,Sustainability projects
2157,Level 3,TRUE,Health & safety,https://alfalavalonline.sharepoint.com/sites/Sustainability/SitePages/Important-projects---health-&-safety.aspx,22,2155,Sustainability projects
2158,Level 3,TRUE,Diversity and equality,https://alfalavalonline.sharepoint.com/sites/Sustainability/SitePages/Important-projects--diversity.aspx,23,2155,Sustainability projects
2159,Level 3,TRUE,Responsible sourcing,https://alfalavalonline.sharepoint.com/sites/Sustainability/SitePages/Important-projects---responsible-sourcing.aspx,24,2155,Sustainability projects
2160,Level 3,TRUE,Local Projects,https://alfalavalonline.sharepoint.com/sites/Sustainability/SitePages/Every-action-counts.aspx,25,2155,Sustainability projects
